,code,name
0,KR7095570008,AJ네트웍스
1,KR7006840003,AK홀딩스
2,KR7282330000,BGF리테일
3,KR7027410000,BGF
4,KR7138930003,BNK금융지주
5,KR7001460005,BYC
6,KR700104K010,CJ4우(전환)
7,KR7001040005,CJ
8,KR7011150000,CJ씨푸드
9,KR7000590000,CS홀딩스
10,KR7012030003,DB
11,KR7016610008,DB금융투자
12,KR7005830005,DB손해보험
13,KR7000990002,DB하이텍
14,KR7139130009,DGB금융지주
15,KR7001530005,DI동일
16,KR7000210005,DL
17,KR737550K011,DL이앤씨우
18,KR7375500006,DL이앤씨
19,KR7155660004,DSR
20,KR7069730000,DSR제강
21,KR7017940008,E1
22,KR7365550003,ESR켄달스퀘어리츠
23,KR7007700008,F&F
24,KR7006360002,GS건설
25,KR7078930005,GS
26,KR7012630000,HDC
27,KR7294870001,HDC현대산업개발
28,KR7003560000,IHQ
29,KR7175330000,JB금융지주
30,KR7234080000,JW생명과학
31,KR7001060003,JW중외제약
32,KR7096760004,JW홀딩스
33,KR7105560007,KB금융
34,KR7009070004,KCTC
35,KR7016380008,KG동부제철
36,KR7001390004,KG케미칼
37,KR7001940006,KISCO홀딩스
38,KR7025000001,KPX케미칼
39,KR7092230002,KPX홀딩스
40,KR7000040006,KR모터스
41,KR7093050003,LF
42,KR7034220004,LG디스플레이
43,KR7003550001,LG
44,KR7001120005,LG상사
45,KR7051900009,LG생활건강
46,KR7032640005,LG유플러스
47,KR7011070000,LG이노텍
48,KR7066570003,LG전자
49,KR7051910008,LG화학
50,KR7079550000,LIG넥스원
51,KR7010120004,LS ELECTRIC
52,KR7000680009,LS네트웍스
53,KR7006260004,LS
54,KR7023150006,MH에탄올
55,KR7035420009,NAVER
56,KR7181710005,NHN
57,KR7338100001,NH프라임리츠
58,KR7034310003,NICE
59,KR7008260002,NI스틸
60,KR7004250007,NPC
61,KR7010060002,OCI
62,KR7010950004,S-Oil
63,KR7101060002,SBS미디어홀딩스
64,KR7005090006,SGC에너지
65,KR7002360006,SH에너지화학
66,KR7009160003,SIMPAC
67,KR7123700007,SJM
68,KR7025530007,SJM홀딩스
69,KR703473K016,SK우
70,KR7011790003,SKC
71,KR7018670000,SK가스
72,KR7001740000,SK네트웍스
73,KR7210980009,SK디앤디
74,KR7034730002,SK
75,KR7096770003,SK이노베이션
76,KR7001510007,SK증권
77,KR728513K010,SK케미칼우
78,KR7285130001,SK케미칼
79,KR7017670001,SK텔레콤
80,KR7064960008,SNT모티브
81,KR7100840008,SNT에너지
82,KR7003570009,SNT중공업
83,KR7036530004,SNT홀딩스
84,KR7005610001,SPC삼립
85,KR7011810009,STX
86,KR7077970002,STX엔진
87,KR7071970008,STX중공업
88,KR7084870005,TBH글로벌
89,KR7002710002,TCC스틸
90,KR7024070005,WISCOM
91,KR7000500009,가온전선
92,KR7000860007,강남제비스코
93,KR7035250000,강원랜드
94,KR7011420007,갤럭시아에스엠
95,KR7002100006,경농
96,KR7009450008,경동나비엔
97,KR7267290005,경동도시가스
98,KR7012320008,경동인베스트
99,KR7000050005,경방
100,KR7214390007,경보제약
101,KR7012610002,경인양행
102,KR7009140005,경인전자
103,KR7013580006,계룡건설
104,KR7012200002,계양전기
105,KR7002140002,고려산업
106,KR7010130003,고려아연
107,KR7002240000,고려제강
108,KR7009290008,광동제약
109,KR7017040007,광명전기
110,KR7017900002,광전자
111,KR7037710001,광주신세계
112,KR7030610000,교보증권
113,KR7339770000,교촌에프앤비
114,KR7007690001,국도화학
115,KR7005320007,국동
116,KR7001140003,국보
117,KR7002720001,국제약품
118,KR7114090004,GKL
119,KR7083420000,그린케미칼
120,KR7014530000,극동유화
121,KR7014280002,금강공업
122,KR7008870008,금비
123,KR7001570001,금양
124,KR7002990000,금호산업
125,KR7011780004,금호석유
126,KR7214330003,금호에이치티
127,KR7001210004,금호전기
128,KR7073240004,금호타이어
129,KR7092440007,기신정기
130,KR7000270009,기아차
131,KR7013700000,까뮤이앤씨
132,KR7004540001,깨끗한나라
133,KR7001260009,남광토건
134,KR7008350001,남선알미늄
135,KR7004270005,남성
136,KR7003920006,남양유업
137,KR7025860008,남해화학
138,KR7005720008,넥센
139,KR7002350007,넥센타이어
140,KR7003580008,넥스트사이언스
141,KR7251270005,넷마블
142,KR7090350000,노루페인트
143,KR7000320002,노루홀딩스
144,KR7006280002,녹십자
145,KR7005250006,녹십자홀딩스
146,KR7004370003,농심
147,KR7072710007,농심홀딩스
148,KR7058730003,다스코
149,KR7023590003,다우기술
150,KR7019680008,대교
151,KR7006370001,대구백화점
152,KR700806K010,대덕1우
153,KR7008060006,대덕
154,KR7353200009,대덕전자
155,KR735320K011,대덕전자1우
